article_type,author_names,authorinfo,citation,citation_date,correspondence_author,keywords,titles
"['\nNature |\n\t\t\t\t\tArticle\t\t\t\t', '\nNature\n']","['Alexander C. Huang', '1', '2', '3', '4', 'Michael A. Postow', '5', '6', '*', 'Robert J. Orlowski', '1', '2', '3', '4', '*', 'Rosemarie Mick', '3', '4', '7', 'Bertram Bengsch', '2', '4', '8', 'Sasikanth Manne', '2', '8', 'Wei Xu', '1', '3', 'Shannon Harmon', '1', '3', 'Josephine R. Giles', '2', '4', '8', 'Brandon Wenz', '1', '3', 'Matthew Adamow', '9', 'Deborah Kuk', '10', 'Katherine S. Panageas', '10', 'Cristina Carrera', '5', '11', 'Phillip Wong', '9', '12', 'Felix Quagliarello', '2', '8', 'Bradley Wubbenhorst', '1', '3', 'Kurt D’Andrea', '1', '3', 'Kristen E. Pauken', '2', '8', 'Ramin S. Herati', '1', '2', '3', 'Ryan P. Staupe', '2', '8', 'Jason M. Schenkel', '13', 'Suzanne McGettigan', '1', '3', 'Shawn Kothari', '1', 'Sangeeth M. George', '2', '4', '8', 'Robert H. Vonderheide', '1', '2', '3', '4', 'Ravi K. Amaravadi', '1', '3', 'Giorgos C. Karakousis', '3', '14', 'Lynn M. Schuchter', '1', '3', 'Xiaowei Xu', '3', '15', 'Katherine L. Nathanson', '1', '3', '4', 'Jedd D. Wolchok', '5', '12', 'Tara C. Gangadhar', '1', '3', '§', 'E. John Wherry', '2', '3', '4', '8', '§']","['Department of Medicine, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA', 'Institute for Immunology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA', 'Abramson Cancer Center, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA', 'Parker Institute for Cancer Immunotherapy at University of Pennsylvania, Philadelphia, Pennsylvania, USA', 'Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, New York, USA', 'Weill Cornell Medical College, New York, New York, USA', 'Department of Biostatistics and Epidemiology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA', 'Department of Microbiology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA', 'Immune Monitoring Facility, Ludwig Center for Cancer Immunotherapy, Memorial Sloan Kettering Cancer Center, New York, New York, USA', 'Department of Epidemiology and Biostatistics, Memorial Sloan Kettering Cancer Center, New York, New York, USA', 'Department of Dermatology, Hospital Clínic de Barcelona, Institut d’Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS), University of Barcelona and Centro de Investigación Biomédica en Red de Enfermedades Raras (CIBERER), Barcelona, Spain', 'Parker Institute for Cancer Immunotherapy at Memorial Sloan Kettering Cancer Center, New York, New York, USA', 'Department of Pathology, Brigham and Women’s Hospital, Boston, Massachusetts, USA', 'Department of Surgery, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA', 'Department of Pathology and Laboratory Medicine, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA']","['Nature', '(2017)', 'doi:10.1038/nature22079', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t14 June 2016\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t22 March 2017\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t10 April 2017\t\t\t\t\t\t\t']","['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t14 June 2016\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t22 March 2017\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t10 April 2017\t\t\t\t\t\t\t']","['Alexander C. Huang', 'Tara C. Gangadhar', 'E. John Wherry']",[],T-cell invigoration to tumour burden ratio associated with anti-PD-1 response
[],[],[],[],[],[],[],Brain cells reprogrammed in a mouse model of Parkinson’s 
[],[],[],[],[],[],[],Earth-sized exoplanet with atmosphere spotted
[],[],[],[],[],[],[],Lakes face a dangerously salty future
"['\nNature |\n\t\t\t\t\tLetter\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tArticle\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tNews and Views\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Suihe Jiang', '1', 'Hui Wang', '1', 'Yuan Wu', '1', 'Xiongjun Liu', '1', 'Honghong Chen', '1', 'Mengji Yao', '2', 'Baptiste Gault', '2', 'Dirk Ponge', '2', 'Dierk Raabe', '2', 'Akihiko Hirata', '3', '4', 'Mingwei Chen', '3', '5', 'Yandong Wang', '1', 'Zhaoping Lu', '1']","['State Key Laboratory for Advanced Metals and Materials, University of Science and Technology Beijing, Beijing 100083, China', 'Department of Microstructure Physics and Alloy Design, Max-Planck-Institut für Eisenforschung GmbH, Max-Planck-Straße, Düsseldorf 40237, Germany', 'WPI Advanced Institute for Materials Research, Tohoku University, Sendai 980-8577, Japan', 'Mathematics for Advanced Materials-OIL, AIST-Tohoku University, Sendai 980-8577, Japan', 'Department of Materials Science and Engineering, Johns Hopkins University, Baltimore Maryland 21218, USA']","['Nature', '(2017)', 'doi:10.1038/nature22032', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t30 August 2016\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t02 February 2017\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t10 April 2017\t\t\t\t\t\t\t']","['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t30 August 2016\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t02 February 2017\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t10 April 2017\t\t\t\t\t\t\t']",['Zhaoping Lu'],[],Ultrastrong steel via minimal lattice misfit and high-density nanoprecipitation
[],[],[],[],[],[],[],Increased farming is threatening Africa’s forests
[],[],[],[],[],[],[],Monkeys can sniff out sickness from faeces
[],[],[],[],[],[],[],Rogue asteroids may be rare
[],[],[],[],[],[],[],Viruses can trigger coeliac disease
[],[],[],[],[],[],[],Octopus smarts may come from RNA edits
